Rank,Recommended action,Status,Points achieved,Score impact,Category,Product,Have license?,Regressed,Tenant,Control ID,Notes
10,Atlassian mobile app security - Users that are affected by policies,To address,0.66 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,MDA_Atlassian_mobile_UsersAffected,Budget-constrained tenant with licenses missing and security controls deferred.
10,Enable Password expiration policies,To address,1.69 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,MDA_Atlassian_passwordExpiry,Budget-constrained tenant with licenses missing and security controls deferred.
10,Enable multi-factor authentication (MFA),To address,1.36 / 7,7%,Identity,Microsoft Entra ID,No,No,Blue Yonder Nonprofit,MDA_CitrixSF_EnableTwoFactorAuth,Budget-constrained tenant with licenses missing and security controls deferred.
10,Enable Single Sign on (SSO),To address,0.33 / 7,7%,Identity,Microsoft Entra ID,No,No,Blue Yonder Nonprofit,MDA_CitrixSF_ForceSSO,Budget-constrained tenant with licenses missing and security controls deferred.
10,Enable session timeout for web users,To address,0.36 / 6,6%,Identity,Microsoft Entra ID,Yes,Yes,Blue Yonder Nonprofit,MDA_CitrixSF_InactiveTimeoutMins,Budget-constrained tenant with licenses missing and security controls deferred.
10,Enhance 'login maximum attempts' - Lockout timer,To address,0.35 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,MDA_CitrixSF_LoginFailLockoutSecs,Budget-constrained tenant with licenses missing and security controls deferred.
10,Enhance 'login maximum attempts' - Number of attempts,Planned,3.53 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,MDA_CitrixSF_LoginFailMaxAttempts,Budget-constrained tenant with licenses missing and security controls deferred.
10,Enable password minimum length,Planned,2.31 / 4,4%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,MDA_CitrixSF_MinimumLength,Budget-constrained tenant with licenses missing and security controls deferred.
10,Enable password minimum numeric characters,Planned,2.02 / 4,4%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,MDA_CitrixSF_MinimumNumeric,Budget-constrained tenant with licenses missing and security controls deferred.
10,Enable password minimum special characters,Planned,2.3 / 4,4%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,MDA_CitrixSF_MinimumSpecialCharacters,Budget-constrained tenant with licenses missing and security controls deferred.
10,Enable password expiration policies,To address,0.59 / 4,4%,Identity,Microsoft Entra ID,Yes,No,Blue Yonder Nonprofit,MDA_CitrixSF_PasswordMaxAgeDays,Budget-constrained tenant with licenses missing and security controls deferred.
