Rank,Recommended action,Status,Points achieved,Score impact,Category,Product,Have license?,Regressed,Tenant,Control ID,Notes
65,Change password for Entra seamless SSO account,Completed,4.4 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_AzureSsoAccountOldPasswords,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Change password of built-in domain Administrator account,Completed,5 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_BuiltinAdministratorAccountWithOldPassword,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Built-in Active Directory Guest account is enabled,Completed,5 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_BuiltinGuestAccountIsEnabled,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Change password for krbtgt account,Completed,4.44 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_BuiltinKrbtgtAccountWithOldPassword,Strong governance with a few legacy exceptions and pending collaboration controls.
67,Stop clear text credentials exposure,To address,0.32 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_ClearText,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Remove stale CyberArk Identity privileged accounts,Planned,3.9 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_CyberArk_DormantPriviledgedAccounts,Strong governance with a few legacy exceptions and pending collaboration controls.
65,High number of CyberArk Identity accounts with a privileged role assigned,Planned,3.74 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_CyberArk_HighNumberOfPriviledgedIdentityAccounts,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Limit the number of CyberArk Identity accounts with system admin role,Completed,4.84 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_CyberArk_HighNumberOfSystemAdmins,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Change password for CyberArk Identity privileged User accounts,Completed,5.85 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_CyberArk_PriviledgedUserAccountsWithOldPasswords,Strong governance with a few legacy exceptions and pending collaboration controls.
59,"Start your Defender for Identity deployment, installing Sensors on Domain Controllers and other eligible servers.",Completed,4.72 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_DefenderForIdentityIsNotInstalled,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Unsafe permissions on the DnsAdmins group,Completed,8 / 8,8%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_DnsAdminsGroupWithUnsafePermissions,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Remove local admins on identity assets,Completed,4.51 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_DomainControllerLocalUsers,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Change Domain Controller computer account old password,To address,0.59 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_DomainControllersWithOldPassword,Strong governance with a few legacy exceptions and pending collaboration controls.
67,Remove dormant accounts from sensitive groups,Planned,3.82 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_DormantAccounts,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Rotate password for Entra Connect AD DS Connector account,Planned,2.37 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_EntraConnectAccountsOldPasswords,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Replace Enterprise or Domain Admin account for Entra Connect AD DS Connector account,Completed,2.64 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_EntraConnectAccountsWithConnectorAccountAsDefaultAdmin,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Remove unnecessary replication permissions for Entra Connect AD DS Connector Account,Completed,6.7 / 8,8%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_EntraConnectAccountUnnecessaryReplicationPermission,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Install Defender for Identity Sensor on Entra Connect servers,To address,0.89 / 4,4%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_EntraConnectComputersWithNoMdiSensorInstalled,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Remove unsafe permissions on sensitive Entra Connect accounts,Completed,8.41 / 9,9%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_EntraConnectSensitiveAccountsWithUnsafePermissions,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Remove discoverable passwords in Active Directory account attributes,Completed,7.61 / 8,8%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_ExposedPasswordsInADAttributes,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Set a valid password rotation interval for gMSA,Completed,5.29 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_GroupManagedServiceAccountWithUnrecommendedPasswordChangeInterval,Strong governance with a few legacy exceptions and pending collaboration controls.
65,GPO can be modified by unprivileged accounts,Completed,4.64 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_GroupPolicyAbnormalModificationAssignment,Strong governance with a few legacy exceptions and pending collaboration controls.
65,GPO assigns unprivileged identities to local groups with elevated privileges,Completed,7 / 7,7%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_GroupPolicyAssignsUnprivilegedIdentitiesToElevatedLocalGroups,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Reversible passwords found in GPOs,Planned,6.45 / 8,8%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_GroupPolicyPasswordInPreferences,Strong governance with a few legacy exceptions and pending collaboration controls.
61,Set a honeytoken account,Completed,0.87 / 1,1%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_HoneyToken,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Remove stale service accounts,Completed,4.43 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_InactiveServiceAccounts,Strong governance with a few legacy exceptions and pending collaboration controls.
67,Modify unsecure Kerberos delegations to prevent impersonation,Completed,4.28 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_KerberosDelegations,Strong governance with a few legacy exceptions and pending collaboration controls.
66,Remove non-admin accounts with DCSync permissions,Completed,4.65 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_NonAdminDCSyncAccounts,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Remove dormant Okta privileged accounts,Planned,1.84 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_Okta_Dormant,Strong governance with a few legacy exceptions and pending collaboration controls.
65,High number of Okta accounts with privileged role assigned,Completed,5 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_Okta_HighNumberOfNonSuperAdminPrivilegedUserAccounts,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Limit the Number of Okta Super Admins Accounts,To address,0.74 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_Okta_HighNumberOfSuperAdmins,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Change password for Okta privileged User accounts,Completed,5.27 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_Okta_SensitiveAccountWithOldPassword,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Assign multi-factor authentication for Okta privileged user accounts,Planned,4.07 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_Okta_SensitiveAccountWithoutFactorsAssigned,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Highly Privileged Okta Api Token,Planned,3.89 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_Okta_SensitiveApiToken,Strong governance with a few legacy exceptions and pending collaboration controls.
67,Reduce lateral movement path risk to sensitive entities,Completed,4.48 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_PathRisk,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Remove stale PingOne privileged accounts,To address,0.99 / 5,5%,Identity,Microsoft Entra ID,Yes,Yes,Northwind Finance,AATP_Ping_Dormant,Strong governance with a few legacy exceptions and pending collaboration controls.
65,High number of PingOne accounts with a privileged role assigned,Completed,5 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_Ping_HighNumberOfNonSuperAdminPrivilegedUserAccounts,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Limit the number of PingOne accounts with organization admin role,Completed,4.71 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_Ping_HighNumberOfSuperAdmins,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Change password for PingOne privileged User accounts,Completed,5.85 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_Ping_SensitiveAccountWithOldPassword,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Assign multi-factor authentication for PingOne privileged user accounts,Planned,4.05 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_Ping_SensitiveAccountWithoutFactorsAssigned,Strong governance with a few legacy exceptions and pending collaboration controls.
67,Disable Print spooler service on domain controllers,Completed,4.31 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_PrintSpooler,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Ensure privileged accounts are not delegated,Completed,4.22 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_PrivilegedAccountsWithDelegationAllowed,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Identify Entra ID privileged accounts that are also privileged in Active Directory,Completed,8 / 9,9%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_PrivilegedEntraIdAndActiveDirectoryAccounts,Strong governance with a few legacy exceptions and pending collaboration controls.
67,Protect and manage local admin passwords with Microsoft LAPS,Completed,4.93 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_PwdLAPS,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Remove stale SailPoint privileged accounts,Completed,4.39 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_SailPoint_DormantPriviledgedAccounts,Strong governance with a few legacy exceptions and pending collaboration controls.
65,High number of SailPoint accounts with a privileged role assigned,Completed,4.95 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_SailPoint_HighNumberOfPriviledgedIdentityAccounts,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Limit the number of SailPoint accounts with system admin role,Completed,5 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_SailPoint_HighNumberOfSystemAdmins,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Assign multi-factor authentication for SailPoint privileged user accounts,Completed,4.93 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_SailPoint_MFAforPriviledgedUserAccounts,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Change password for SailPoint privileged User accounts,Completed,4.38 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_SailPoint_PriviledgedUserAccountsWithOldPasswords,Strong governance with a few legacy exceptions and pending collaboration controls.
60,Install Defender for Identity Sensor on all Domain Controllers,Planned,3.13 / 4,4%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_Sensor,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Identify service accounts in privileged groups,Completed,6.09 / 7,7%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_ServiceAccountsInPrivilegedGroup,Strong governance with a few legacy exceptions and pending collaboration controls.
67,Remove unsecure SID history attributes from entities,Completed,4.27 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_SIDHistory,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Rotate old password for sMSA and set up valid rotation interval in the GPO,Completed,5.38 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_SingleManagedServiceAccountsWithOldPassword,Strong governance with a few legacy exceptions and pending collaboration controls.
65,Remove stale Active Directory accounts,Completed,4.35 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_StaleAccounts,Strong governance with a few legacy exceptions and pending collaboration controls.
67,Resolve unsecure account attributes,Completed,4.5 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_UnsecureAccount,Strong governance with a few legacy exceptions and pending collaboration controls.
60,Resolve unsecure domain configurations,Completed,4.33 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_UnsecureDomain,Strong governance with a few legacy exceptions and pending collaboration controls.
63,Configure VPN integration,Completed,0.87 / 1,1%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_Vpn,Strong governance with a few legacy exceptions and pending collaboration controls.
67,Stop weak cipher usage,Planned,4.01 / 5,5%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AATP_WeakCipher,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Ensure 'User owned apps and services' is restricted,Planned,2.21 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,admincenter_owned_apps_and_services,Strong governance with a few legacy exceptions and pending collaboration controls.
1,Ensure multifactor authentication is enabled for all users in administrative roles,Completed,8.72 / 10,10%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,AdminMFAV2,Strong governance with a few legacy exceptions and pending collaboration controls.
9,Regulate cloud app access to sensitive data,Completed,6.01 / 7,7%,Apps,AppG,Yes,No,Northwind Finance,AppG_regulate_access_to_sensitive_data,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Regulate apps with priority account consent,Completed,6.8 / 7,7%,Apps,AppG,Yes,No,Northwind Finance,AppG_unusual_activity_with_priority_account,Strong governance with a few legacy exceptions and pending collaboration controls.
68,Enable Conditional Access policies to block legacy authentication,Completed,7.47 / 8,8%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,BlockLegacyAuthentication,Strong governance with a few legacy exceptions and pending collaboration controls.
127,Ensure the customer lockbox feature is enabled,Completed,1 / 1,1%,Apps,Exchange Online,Yes,No,Northwind Finance,CustomerLockBoxEnabled,Strong governance with a few legacy exceptions and pending collaboration controls.
128,Ensure DLP policies are enabled,Completed,4.94 / 5,5%,Data,MIP,Yes,No,Northwind Finance,dlp_datalossprevention,Strong governance with a few legacy exceptions and pending collaboration controls.
128,Ensure 'External sharing' of calendars is not available,Completed,4.3 / 5,5%,Apps,Exchange Online,Yes,No,Northwind Finance,exo_individualsharing,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Ensure mailbox auditing for all users is Enabled,Planned,2.42 / 3,3%,Apps,Exchange Online,Yes,No,Northwind Finance,exo_mailboxaudit,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Ensure MailTips are enabled for end users,Planned,2.32 / 3,3%,Apps,Exchange Online,Yes,No,Northwind Finance,exo_mailtipsenabled,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Ensure modern authentication for Exchange Online is enabled,Planned,2.45 / 3,3%,Identity,Exchange Online,Yes,No,Northwind Finance,exo_oauth2clientprofileenabled,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Ensure users installing Outlook add-ins is not allowed,Completed,2.79 / 3,3%,Apps,Exchange Online,Yes,No,Northwind Finance,exo_outlookaddins,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Ensure that SPF records are published for all Exchange Domains,Completed,4.87 / 5,5%,Apps,Exchange Online,Yes,No,Northwind Finance,exo_SPF_records_for_all_domains,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Ensure additional storage providers are restricted in Outlook on the web,Completed,5 / 5,5%,Apps,Exchange Online,Yes,No,Northwind Finance,exo_storageproviderrestricted,Strong governance with a few legacy exceptions and pending collaboration controls.
128,Ensure Spam confidence level (SCL) is configured in mail transport rules with specific domains,Completed,2.94 / 3,3%,Apps,Exchange Online,Yes,No,Northwind Finance,exo_transportrulesallowlistdomains,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Ensure internal phishing protection for Forms is enabled,Completed,5.58 / 6,6%,Apps,FORMS,Yes,No,Northwind Finance,forms_phishing_protection,Strong governance with a few legacy exceptions and pending collaboration controls.
35,Ensure user consent to apps accessing company data on their behalf is not allowed,Planned,3.25 / 4,4%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,IntegratedApps,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Ensure Microsoft Defender for Cloud Apps is enabled and configured,Planned,4.01 / 5,5%,Apps,Microsoft Defender,Yes,No,Northwind Finance,mcas_mda_enabled,Strong governance with a few legacy exceptions and pending collaboration controls.
82,Deploy a log collector to discover shadow IT activity,Planned,0.73 / 1,1%,Apps,MCAS,Yes,No,Northwind Finance,McasFirewallLogUpload,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Enable multi-factor authentication (MFA),Planned,5.7 / 7,7%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,MDA_Atlassian_EnableTwoFactorAuth,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Enable Single Sing On (SSO),Completed,7 / 7,7%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,MDA_Atlassian_ForceSSO,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Enable session timeout for web users,Completed,5.34 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,MDA_Atlassian_InactiveTimeoutMins,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Atlassian mobile app security - App access requirement,Completed,5.97 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,MDA_Atlassian_mobile_access,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Atlassian mobile app security - App data protection,To address,1.17 / 6,6%,Apps,MDA_Atlassian,Yes,No,Northwind Finance,MDA_Atlassian_mobile_dataprotection,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Atlassian mobile app security - Users that are affected by policies,Completed,2.96 / 3,3%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,MDA_Atlassian_mobile_UsersAffected,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Enable Password expiration policies,Completed,5 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,MDA_Atlassian_passwordExpiry,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Enable multi-factor authentication (MFA),Planned,3.43 / 7,7%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,MDA_CitrixSF_EnableTwoFactorAuth,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Enable Single Sign on (SSO),Completed,6.01 / 7,7%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,MDA_CitrixSF_ForceSSO,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Enable session timeout for web users,Completed,5.01 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,MDA_CitrixSF_InactiveTimeoutMins,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Enhance 'login maximum attempts' - Lockout timer,Completed,5.03 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,MDA_CitrixSF_LoginFailLockoutSecs,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Enhance 'login maximum attempts' - Number of attempts,Completed,5.84 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,MDA_CitrixSF_LoginFailMaxAttempts,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Enable password minimum length,Completed,3.52 / 4,4%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,MDA_CitrixSF_MinimumLength,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Enable password minimum numeric characters,Planned,2 / 4,4%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,MDA_CitrixSF_MinimumNumeric,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Enable password minimum special characters,Completed,3.81 / 4,4%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,MDA_CitrixSF_MinimumSpecialCharacters,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Enable password expiration policies,Planned,3.21 / 4,4%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,MDA_CitrixSF_PasswordMaxAgeDays,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Enhance password requirements,Planned,3.23 / 4,4%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,MDA_DocuSign_EnhancedPassword,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Password expiry requirements,Completed,4 / 4,4%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,MDA_DocuSign_PasswordExpires,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Enable session timeout for web users,Completed,6 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,MDA_DocuSign_SessionTimeout,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Enable web session timeout for web users,Completed,5.12 / 6,6%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,MDA_Dropbox_InactiveTimeoutMins,Strong governance with a few legacy exceptions and pending collaboration controls.
10,Disable 'Allow members to view dependency insights',Completed,3.77 / 4,4%,Identity,Microsoft Entra ID,Yes,No,Northwind Finance,MDA_GitHub_DependencyInsights,Strong governance with a few legacy exceptions and pending collaboration controls.
